Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1990","1990","toneladas","17533","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1991","1991","toneladas","17533","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1992","1992","toneladas","17533","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1993","1993","toneladas","17533","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1994","1994","toneladas","19376","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1995","1995","toneladas","24863","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1996","1996","toneladas","38185","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1997","1997","toneladas","55171","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1998","1998","toneladas","47355","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","1999","1999","toneladas","58585","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2000","2000","toneladas","69814","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2001","2001","toneladas","81044","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2002","2002","toneladas","92273","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2003","2003","toneladas","103503","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2004","2004","toneladas","114732","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2005","2005","toneladas","125962","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2006","2006","toneladas","137191","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1320","Herbicidas","2007","2007","toneladas","172247","Fc","Datos calculados"
