Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1990","1990","toneladas","3503","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1991","1991","toneladas","3503","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1992","1992","toneladas","3503","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1993","1993","toneladas","3503","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1994","1994","toneladas","4883","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1995","1995","toneladas","6188","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1996","1996","toneladas","9456","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1997","1997","toneladas","12535","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1998","1998","toneladas","7964","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","1999","1999","toneladas","7891","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2000","2000","toneladas","7817","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2001","2001","toneladas","7744","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2002","2002","toneladas","7670","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2003","2003","toneladas","7597","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2004","2004","toneladas","7523","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2005","2005","toneladas","7450","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2006","2006","toneladas","7376","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2007","2007","toneladas","9341","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1309","Insecticidas","2008","2008","toneladas","7381","Fc","Datos calculados"
